title,author,year,cover_id,work_key,description,subjects
New Psychology Of Money,Adrian Furnham,2014.0,7710924.0,/works/OL17504577W,,"Money, Psychological aspects, BUSINESS & ECONOMICS, Finance"
Understanding psychology,"Charles G. Morris, Albert A. Maisto",1991.0,3997378.0,/works/OL1816885W,,"Psychology, Textbooks"
Psychology,"Charles G. Morris, Albert A. Maisto",1973.0,4341574.0,/works/OL1816886W,,"Psychology, Textbooks, Psychology textbooks, Psychologie, Humanities textbooks, Einfuhrung, Psychology, applied"
Essentials of Psychology,Dennis Coon,1979.0,14035727.0,/works/OL90591W,,"Psychology, Textbooks, Psychology textbooks, Humanities textbooks"
Invitation to Psychology,"Carole Wade, Carol Tavris, Samuel R. Sommers, Lisa M. Shin, Maryanne Garry",1998.0,2382453.0,/works/OL505187W,,"Psychology, Textbooks, Psychology, outlines, syllabi, etc., Biochemistry, Reading (Elementary) $z United States, Psychologie, Youth, Adolescent psychology"
Dark Psychology Tricks : Manipulation Body Language Dark Psychology,Luise Rankin,2021.0,15117702.0,/works/OL30756856W,,
Never Lie,Freida McFadden,2022.0,13198561.0,/works/OL34224558W,"Newlyweds Tricia and Ethan are searching for the house of their dreams.

But when they visit the remote manor that once belonged to Dr. Adrienne Hale, a renowned psychiatrist who vanished without a trace four years earlier, a violent winter storm traps them at the estate… with no chance of escape until the blizzard comes to an end.

In search of a book to keep her entertained until the snow abates, Tricia happens upon a secret room. One that contains audio transcripts from every single patient Dr. Hale has ever interviewed. As Tricia listens to the cassette tapes, she learns about the terrifying chain of events leading up to Dr. Hale’s mysterious disappearance.

Tricia plays the tapes one by one, late into the night. With each one, another shocking piece of the puzzle falls into place, and Dr. Adrienne Hale’s web of lies slowly unravels.

And then Tricia reaches the final cassette.

The one that reveals the entire horrifying truth.","Thriller, Mystery, Mystery Thriller, Fiction, Suspense, Crime, Psychological Thriller, Contemporary"
Psychology,David G. Myers,1986.0,6601727.0,/works/OL14859351W,,"Psychology, Textbooks, Psychologie sociale, Einführung, Psychopathologie, Psychology textbooks, Psychologie, Humanities textbooks, Psychologie du développement, Personnalité, Troubles de la, Psychology -- Textbooks, Classification [MESH], Classification, Numerical taxonomy, Biology [MESH], Taxonomy, Mathematics [MESH], Biologie, Numerische Taxonomie, Taxonomie, Psychology, outlines, syllabi, etc., Psychology, study and teaching"
Psychology,William James,1892.0,153443.0,/works/OL1502063W,On psychology.,"Psychology, Psychologie, Large type books"
Educational Psychology,Robert E. Slavin,1986.0,138358.0,/works/OL12204W,"Foster the intellectual and practical strategies needed to be an effective teacher
Educational Psychology: Theory and Practice offers complete, up-to-date information that is presented in readable, practical ways and illustrated with engaging examples and case studies. The text makes the connection between theory and practice explicit, helping students transfer what they learn to their own teaching. Based directly on classroom research, the text is kept up-to-date with the most recent learnings and includes over 2,000 citations. The 13th Edition features a new section called “What Does the Evidence Say?” that includes recent educational research findings, as well as new and expanded coverage on many topics throughout.","Educational psychology, Textbooks, Psychology textbooks, Humanities textbooks, Apprentissage, Enseignement, Coöperatief onderwijs, Kooperatives Lernen, Travail en équipe, Guides, manuels, Group work in education, Team learning approach in education, Didactiek, Padagogische Psychologie, Onderwijspsychologie, Psychopedagogie, Leren"
Abnormal Psychology,"Irwin G. Sarason, Barbara R. Sarason, Irwin Gerald Sarason",1969.0,85196.0,/works/OL1802485W,,"Psychopathology, Social Behavior Disorders, Psychopathologie, Textbooks, Psychology textbooks, Humanities textbooks, Psychology, Pathological, Pathological Psychology, Abweichendes Verhalten, Therapie, Verhaltensstorung, Psychologie, Study and teaching, Einführung, Verhaltensstörung"
Cognitive psychology,Robert L. Solso,1979.0,1146064.0,/works/OL2669419W,,"Cognitive psychology, Textbooks, Cognition, Psychological Theory"
